,analysisDate,symbol,reportingDate,reportingPeriod,reportingYear,startDate,endDate,earningsFY,cummDepreciationFY,depreciationExpenseFY,amortizationFY,totalCapexFY,operatingCashFlowFY,freeCashFlowFY,sharesOutstandingFY
11,2023-07-05,MSFT,2021-07-29,FY,2021,2020-07-01,2021-06-30,61271000000.0,51351000000.0,9300000000.0,1600000000.0,24864000000.0,76740000000.0,51876000000.0,7547000000.0
12,2023-07-05,MSFT,2022-07-28,FY,2022,2021-07-01,2022-06-30,72738000000.0,59660000000.0,12600000000.0,2000000000.0,27283000000.0,89035000000.0,61752000000.0,7496000000.0
